Timestamp,Segment,Distance,Travel_Time,Delay_Time
1565941710,1018210080,1369,218,0
1565941741,1018210080,1369,218,0
1565941794,1018210080,1369,271,103
1565941860,1018210080,1369,216,0
1565941921,1018210080,1369,216,0
1565941980,1018210080,1369,216,0
1565942040,1018210080,1369,215,0
1565942100,1018210080,1369,215,0
1565942160,1018210080,1369,215,0
1565942220,1018210080,1369,215,0
1565942280,1018210080,1369,215,0
1565942340,1018210080,1369,214,0
1565942400,1018210080,1369,211,0
1565942460,1018210080,1369,211,0
1565942520,1018210080,1369,211,0
1565942580,1018210080,1369,211,0
1565942640,1018210080,1369,211,0
1565942700,1018210080,1369,209,0
1565942760,1018210080,1369,209,0
1565942820,1018210080,1369,209,0
1565942880,1018210080,1369,209,0
1565942940,1018210080,1369,209,0
1565943000,1018210080,1369,207,0
1565943060,1018210080,1369,206,0
1565943120,1018210080,1369,206,0
1565943180,1018210080,1369,206,0
1565943241,1018210080,1369,206,0
1565943300,1018210080,1369,203,0
1565943360,1018210080,1369,203,0
1565943421,1018210080,1369,203,0
1565943480,1018210080,1369,202,0
1565943540,1018210080,1369,202,0
1565943600,1018210080,1369,200,0
1565943660,1018210080,1369,200,0
1565943720,1018210080,1369,200,0
1565943780,1018210080,1369,200,0
1565943840,1018210080,1369,199,0
1565943900,1018210080,1369,198,0
1565943960,1018210080,1369,198,0
1565944020,1018210080,1369,198,0
1565944080,1018210080,1369,198,0
1565944140,1018210080,1369,198,0
1565944200,1018210080,1369,195,0
1565944260,1018210080,1369,195,0
1565944320,1018210080,1369,195,0
1565944381,1018210080,1369,195,0
1565944440,1018210080,1369,194,0
1565944500,1018210080,1369,192,0
1565944560,1018210080,1369,192,0
1565944620,1018210080,1369,192,0
1565944680,1018210080,1369,192,0
1565944740,1018210080,1369,192,0
1565944800,1018210080,1369,191,0
1565944860,1018210080,1369,253,103
1565944920,1018210080,1369,190,0
1565944980,1018210080,1369,190,0
1565945040,1018210080,1369,189,0
1565945101,1018210080,1369,187,0
1565945160,1018210080,1369,187,0
1565945221,1018210080,1369,187,0
1565945280,1018210080,1369,187,0
1565945340,1018210080,1369,288,139
1565945401,1018210080,1369,288,139
1565945460,1018210080,1369,269,120
1565945520,1018210080,1369,269,120
1565945581,1018210080,1369,269,120
1565945640,1018210080,1369,288,139
1565945700,1018210080,1369,268,120
1565945761,1018210080,1369,268,120
1565945821,1018210080,1369,268,120
1565945880,1018210080,1369,268,120
1565945940,1018210080,1369,268,120
1565946000,1018210080,1369,287,139
1565946060,1018210080,1369,311,165
1565946120,1018210080,1369,311,165
1565946180,1018210080,1369,317,171
1565946240,1018210080,1369,301,156
1565946300,1018210080,1369,301,156
1565946360,1018210080,1369,301,156
1565946420,1018210080,1369,301,156
1565946480,1018210080,1369,301,156
1565946540,1018210080,1369,301,156
1565946600,1018210080,1369,301,156
1565946660,1018210080,1369,301,156
1565946720,1018210080,1369,301,156
1565946780,1018210080,1369,301,156
1565946840,1018210080,1369,301,156
1565946900,1018210080,1369,301,156
1565946960,1018210080,1369,343,206
1565947020,1018210080,1369,175,0
1565947080,1018210080,1369,174,0
1565947140,1018210080,1369,174,0
1565947200,1018210080,1369,172,0
1565947260,1018210080,1369,172,0
1565947320,1018210080,1369,172,0
1565947381,1018210080,1369,172,0
1565947440,1018210080,1369,172,0
1565947500,1018210080,1369,171,0
1565947560,1018210080,1369,171,0
1565947620,1018210080,1369,171,0
1565947680,1018210080,1369,171,0
1565947741,1018210080,1369,170,0
1565947800,1018210080,1369,281,134
1565947860,1018210080,1369,169,0
1565947920,1018210080,1369,169,0
1565947980,1018210080,1369,169,0
1565948040,1018210080,1369,169,0
1565948100,1018210080,1369,167,0
1565948160,1018210080,1369,167,0
1565948220,1018210080,1369,167,0
1565948280,1018210080,1369,167,0
1565948340,1018210080,1369,167,0
1565948400,1018210080,1369,166,0
1565948460,1018210080,1369,166,0
1565948520,1018210080,1369,166,0
1565948580,1018210080,1369,165,0
1565948640,1018210080,1369,165,0
1565948700,1018210080,1369,164,0
1565948760,1018210080,1369,164,0
1565948820,1018210080,1369,164,0
1565948880,1018210080,1369,164,0
1565948940,1018210080,1369,164,0
1565949000,1018210080,1369,163,0
1565949060,1018210080,1369,163,0
1565949120,1018210080,1369,163,0
1565949180,1018210080,1369,163,0
1565949240,1018210080,1369,163,0
1565949300,1018210080,1369,162,0
1565949360,1018210080,1369,162,0
1565949420,1018210080,1369,162,0
1565949480,1018210080,1369,162,0
1565949540,1018210080,1369,161,0
1565949600,1018210080,1369,161,0
1565949660,1018210080,1369,161,0
1565949720,1018210080,1369,161,0
1565949780,1018210080,1369,160,0
1565949840,1018210080,1369,160,0
1565949900,1018210080,1369,160,0
1565949960,1018210080,1369,159,0
1565950020,1018210080,1369,159,0
1565950080,1018210080,1369,159,0
1565950140,1018210080,1369,159,0
1565950200,1018210080,1369,158,0
1565950260,1018210080,1369,158,0
1565950320,1018210080,1369,158,0
1565950380,1018210080,1369,158,0
1565950440,1018210080,1369,158,0
1565950500,1018210080,1369,157,0
1565950560,1018210080,1369,157,0
1565950620,1018210080,1369,157,0
1565950680,1018210080,1369,157,0
1565950740,1018210080,1369,157,0
1565950800,1018210080,1369,156,0
1565950862,1018210080,1369,156,0
1565950920,1018210080,1369,156,0
1565950980,1018210080,1369,156,0
1565951040,1018210080,1369,156,0
1565951100,1018210080,1369,155,0
