TimeStamp,Btlinkid,FreeFlowTime,TrafficTime,Distance
2019-08-16T07:46:30Z,1022110181,124,130,1561
2019-08-16T07:47:10Z,1022110181,124,130,1561
2019-08-16T07:48:09Z,1022110181,124,148,1561
2019-08-16T07:49:09Z,1022110181,124,148,1561
2019-08-16T07:50:10Z,1022110181,124,147,1561
2019-08-16T07:51:10Z,1022110181,124,153,1561
2019-08-16T07:52:10Z,1022110181,124,140,1561
2019-08-16T07:53:09Z,1022110181,124,135,1561
2019-08-16T07:54:09Z,1022110181,124,144,1561
2019-08-16T07:55:10Z,1022110181,124,144,1561
2019-08-16T07:56:09Z,1022110181,124,136,1561
2019-08-16T07:57:10Z,1022110181,124,142,1561
2019-08-16T07:58:09Z,1022110181,124,153,1561
2019-08-16T07:59:10Z,1022110181,124,153,1561
2019-08-16T08:00:09Z,1022110181,124,136,1561
2019-08-16T08:01:09Z,1022110181,124,136,1561
2019-08-16T08:02:09Z,1022110181,124,139,1561
2019-08-16T08:03:10Z,1022110181,124,137,1561
2019-08-16T08:04:09Z,1022110181,124,155,1561
2019-08-16T08:05:09Z,1022110181,124,150,1561
2019-08-16T08:06:09Z,1022110181,124,147,1561
2019-08-16T08:07:09Z,1022110181,124,149,1561
2019-08-16T08:08:09Z,1022110181,124,143,1561
2019-08-16T08:09:10Z,1022110181,124,141,1561
2019-08-16T08:10:10Z,1022110181,124,134,1561
2019-08-16T08:11:09Z,1022110181,124,129,1561
2019-08-16T08:12:10Z,1022110181,124,129,1561
2019-08-16T08:13:09Z,1022110181,124,132,1561
2019-08-16T08:14:10Z,1022110181,124,143,1561
2019-08-16T08:15:10Z,1022110181,124,143,1561
2019-08-16T08:16:10Z,1022110181,124,144,1561
2019-08-16T08:17:09Z,1022110181,124,143,1561
2019-08-16T08:18:10Z,1022110181,124,143,1561
2019-08-16T08:19:09Z,1022110181,124,145,1561
2019-08-16T08:20:09Z,1022110181,124,158,1561
2019-08-16T08:21:09Z,1022110181,124,149,1561
2019-08-16T08:22:10Z,1022110181,124,156,1561
2019-08-16T08:23:10Z,1022110181,124,156,1561
2019-08-16T08:24:09Z,1022110181,124,163,1561
2019-08-16T08:25:09Z,1022110181,124,180,1561
2019-08-16T08:26:10Z,1022110181,124,176,1561
2019-08-16T08:27:09Z,1022110181,124,216,1561
2019-08-16T08:28:09Z,1022110181,124,205,1561
2019-08-16T08:29:10Z,1022110181,124,205,1561
2019-08-16T08:30:09Z,1022110181,124,228,1561
2019-08-16T08:31:10Z,1022110181,124,220,1561
2019-08-16T08:32:10Z,1022110181,124,227,1561
2019-08-16T08:33:09Z,1022110181,124,235,1561
2019-08-16T08:34:10Z,1022110181,124,217,1561
2019-08-16T08:35:09Z,1022110181,124,217,1561
2019-08-16T08:36:09Z,1022110181,124,240,1561
2019-08-16T08:37:10Z,1022110181,124,202,1561
2019-08-16T08:38:10Z,1022110181,124,178,1561
2019-08-16T08:39:10Z,1022110181,124,178,1561
2019-08-16T08:40:09Z,1022110181,124,164,1561
2019-08-16T08:41:09Z,1022110181,124,159,1561
2019-08-16T08:42:09Z,1022110181,124,133,1561
2019-08-16T08:43:09Z,1022110181,124,133,1561
2019-08-16T08:44:10Z,1022110181,124,135,1561
2019-08-16T08:45:09Z,1022110181,124,135,1561
2019-08-16T08:46:10Z,1022110181,124,138,1561
2019-08-16T08:47:09Z,1022110181,124,138,1561
2019-08-16T08:48:09Z,1022110181,124,126,1561
2019-08-16T08:49:10Z,1022110181,124,134,1561
2019-08-16T08:50:10Z,1022110181,124,134,1561
2019-08-16T08:51:10Z,1022110181,124,143,1561
2019-08-16T08:52:09Z,1022110181,124,144,1561
2019-08-16T08:53:09Z,1022110181,124,156,1561
2019-08-16T08:54:09Z,1022110181,124,156,1561
2019-08-16T08:55:10Z,1022110181,124,150,1561
2019-08-16T08:56:09Z,1022110181,124,178,1561
2019-08-16T08:57:09Z,1022110181,124,178,1561
2019-08-16T08:58:10Z,1022110181,124,168,1561
2019-08-16T08:59:10Z,1022110181,124,173,1561
2019-08-16T09:00:10Z,1022110181,124,165,1561
2019-08-16T09:01:09Z,1022110181,124,165,1561
2019-08-16T09:02:09Z,1022110181,124,168,1561
2019-08-16T09:03:10Z,1022110181,124,184,1561
2019-08-16T09:04:09Z,1022110181,124,181,1561
2019-08-16T09:05:09Z,1022110181,124,181,1561
2019-08-16T09:06:10Z,1022110181,124,160,1561
2019-08-16T09:07:09Z,1022110181,124,160,1561
2019-08-16T09:08:09Z,1022110181,124,179,1561
2019-08-16T09:09:09Z,1022110181,124,179,1561
2019-08-16T09:10:09Z,1022110181,124,157,1561
2019-08-16T09:11:09Z,1022110181,124,147,1561
2019-08-16T09:12:10Z,1022110181,124,167,1561
2019-08-16T09:13:09Z,1022110181,124,136,1561
2019-08-16T09:14:09Z,1022110181,124,135,1561
2019-08-16T09:15:09Z,1022110181,124,141,1561
2019-08-16T09:16:09Z,1022110181,124,135,1561
2019-08-16T09:17:10Z,1022110181,124,141,1561
2019-08-16T09:18:10Z,1022110181,124,144,1561
2019-08-16T09:19:09Z,1022110181,124,144,1561
2019-08-16T09:20:10Z,1022110181,124,144,1561
2019-08-16T09:21:09Z,1022110181,124,150,1561
2019-08-16T09:22:09Z,1022110181,124,144,1561
2019-08-16T09:23:10Z,1022110181,124,144,1561
2019-08-16T09:24:10Z,1022110181,124,139,1561
2019-08-16T09:25:09Z,1022110181,124,139,1561
2019-08-16T09:26:10Z,1022110181,124,184,1561
2019-08-16T09:27:10Z,1022110181,124,184,1561
2019-08-16T09:28:10Z,1022110181,124,125,1561
2019-08-16T09:29:10Z,1022110181,124,125,1561
2019-08-16T09:30:09Z,1022110181,124,129,1561
2019-08-16T09:31:10Z,1022110181,124,134,1561
2019-08-16T09:32:09Z,1022110181,124,125,1561
2019-08-16T09:33:10Z,1022110181,124,125,1561
2019-08-16T09:34:09Z,1022110181,124,126,1561
2019-08-16T09:35:10Z,1022110181,124,126,1561
2019-08-16T09:36:09Z,1022110181,124,126,1561
2019-08-16T09:37:10Z,1022110181,124,126,1561
2019-08-16T09:38:10Z,1022110181,124,126,1561
2019-08-16T09:39:09Z,1022110181,124,135,1561
2019-08-16T09:40:09Z,1022110181,124,135,1561
2019-08-16T09:41:09Z,1022110181,124,128,1561
2019-08-16T09:42:10Z,1022110181,124,136,1561
2019-08-16T09:43:10Z,1022110181,124,136,1561
2019-08-16T09:44:10Z,1022110181,124,128,1561
2019-08-16T09:45:09Z,1022110181,124,121,1561
2019-08-16T09:46:10Z,1022110181,124,128,1561
2019-08-16T09:47:09Z,1022110181,124,128,1561
2019-08-16T09:48:10Z,1022110181,124,130,1561
2019-08-16T09:49:09Z,1022110181,124,130,1561
2019-08-16T09:50:10Z,1022110181,124,132,1561
2019-08-16T09:51:10Z,1022110181,124,128,1561
2019-08-16T09:52:10Z,1022110181,124,126,1561
2019-08-16T09:53:11Z,1022110181,124,125,1561
2019-08-16T09:54:09Z,1022110181,124,125,1561
2019-08-16T09:55:09Z,1022110181,124,124,1561
